,EG_Confirmed,EG_Deaths,EG_Recovered,EG_Active,Date
0,1,0,0,1,2020-02-14 00:00:00+00:00
1,1,0,0,1,2020-02-15 00:00:00+00:00
2,1,0,0,1,2020-02-16 00:00:00+00:00
3,1,0,0,1,2020-02-17 00:00:00+00:00
4,1,0,0,1,2020-02-18 00:00:00+00:00
5,1,0,0,1,2020-02-19 00:00:00+00:00
6,1,0,0,1,2020-02-20 00:00:00+00:00
7,1,0,0,1,2020-02-21 00:00:00+00:00
8,1,0,0,1,2020-02-22 00:00:00+00:00
9,1,0,0,1,2020-02-23 00:00:00+00:00
10,1,0,0,1,2020-02-24 00:00:00+00:00
11,1,0,0,1,2020-02-25 00:00:00+00:00
12,1,0,0,1,2020-02-26 00:00:00+00:00
13,1,0,0,1,2020-02-27 00:00:00+00:00
14,1,0,1,0,2020-02-28 00:00:00+00:00
15,1,0,1,0,2020-02-29 00:00:00+00:00
16,2,0,1,1,2020-03-01 00:00:00+00:00
17,2,0,1,1,2020-03-02 00:00:00+00:00
18,2,0,1,1,2020-03-03 00:00:00+00:00
19,2,0,1,1,2020-03-04 00:00:00+00:00
20,3,0,1,2,2020-03-05 00:00:00+00:00
21,15,0,1,14,2020-03-06 00:00:00+00:00
22,15,0,1,14,2020-03-07 00:00:00+00:00
23,49,1,1,47,2020-03-08 00:00:00+00:00
24,55,1,1,53,2020-03-09 00:00:00+00:00
25,59,1,1,57,2020-03-10 00:00:00+00:00
26,60,1,27,32,2020-03-11 00:00:00+00:00
27,67,1,27,39,2020-03-12 00:00:00+00:00
28,80,2,27,51,2020-03-13 00:00:00+00:00
29,109,2,27,80,2020-03-14 00:00:00+00:00
30,110,2,21,87,2020-03-15 00:00:00+00:00
31,150,2,27,121,2020-03-16 00:00:00+00:00
32,196,4,32,160,2020-03-17 00:00:00+00:00
33,196,6,32,158,2020-03-18 00:00:00+00:00
34,256,6,32,218,2020-03-19 00:00:00+00:00
35,285,8,39,238,2020-03-20 00:00:00+00:00
36,294,10,41,243,2020-03-21 00:00:00+00:00
37,327,14,56,257,2020-03-22 00:00:00+00:00
38,366,19,56,291,2020-03-23 00:00:00+00:00
39,402,20,80,302,2020-03-24 00:00:00+00:00
40,456,21,95,340,2020-03-25 00:00:00+00:00
41,495,24,102,369,2020-03-26 00:00:00+00:00
42,536,30,116,390,2020-03-27 00:00:00+00:00
43,576,36,121,419,2020-03-28 00:00:00+00:00
44,609,40,132,437,2020-03-29 00:00:00+00:00
45,656,41,150,465,2020-03-30 00:00:00+00:00
46,710,46,157,507,2020-03-31 00:00:00+00:00
47,779,52,179,548,2020-04-01 00:00:00+00:00
48,865,58,201,606,2020-04-02 00:00:00+00:00
49,985,66,216,703,2020-04-03 00:00:00+00:00
50,1070,71,241,758,2020-04-04 00:00:00+00:00
51,1173,78,247,848,2020-04-05 00:00:00+00:00
52,1322,85,259,978,2020-04-06 00:00:00+00:00
53,1450,94,276,1080,2020-04-07 00:00:00+00:00
54,1560,103,305,1152,2020-04-08 00:00:00+00:00
55,1699,118,348,1233,2020-04-09 00:00:00+00:00
56,1794,135,384,1275,2020-04-10 00:00:00+00:00
57,1939,146,426,1367,2020-04-11 00:00:00+00:00
58,2065,159,589,1317,2020-04-12 00:00:00+00:00
59,2190,164,589,1437,2020-04-13 00:00:00+00:00
60,2350,178,589,1583,2020-04-14 00:00:00+00:00
61,2505,183,589,1733,2020-04-15 00:00:00+00:00
62,2673,196,596,1881,2020-04-16 00:00:00+00:00
63,2844,205,646,1993,2020-04-17 00:00:00+00:00
64,3032,224,701,2107,2020-04-18 00:00:00+00:00
65,3144,239,732,2173,2020-04-19 00:00:00+00:00
66,3333,250,821,2262,2020-04-20 00:00:00+00:00
67,3490,264,870,2356,2020-04-21 00:00:00+00:00
68,3659,276,935,2448,2020-04-22 00:00:00+00:00
69,3891,287,1004,2600,2020-04-23 00:00:00+00:00
70,4092,294,1075,2723,2020-04-24 00:00:00+00:00
71,4319,307,1114,2898,2020-04-25 00:00:00+00:00
72,4534,317,1176,3041,2020-04-26 00:00:00+00:00
73,4782,337,1236,3209,2020-04-27 00:00:00+00:00
74,5042,359,1304,3379,2020-04-28 00:00:00+00:00
75,5268,380,1335,3553,2020-04-29 00:00:00+00:00
76,5537,392,1381,3764,2020-04-30 00:00:00+00:00
77,5895,406,1460,4029,2020-05-01 00:00:00+00:00
78,6193,415,1522,4256,2020-05-02 00:00:00+00:00
79,6465,429,1562,4474,2020-05-03 00:00:00+00:00
80,6813,436,1632,4745,2020-05-04 00:00:00+00:00
81,7201,452,1730,5019,2020-05-05 00:00:00+00:00
82,7588,469,1815,5304,2020-05-06 00:00:00+00:00
83,7981,482,1887,5612,2020-05-07 00:00:00+00:00
84,8476,503,1945,6028,2020-05-08 00:00:00+00:00
85,8964,514,2002,6448,2020-05-09 00:00:00+00:00
86,9400,525,2075,6800,2020-05-10 00:00:00+00:00
87,9746,533,2172,7041,2020-05-11 00:00:00+00:00
88,10093,544,2326,7223,2020-05-12 00:00:00+00:00
89,10431,556,2486,7389,2020-05-13 00:00:00+00:00
90,10829,571,2626,7632,2020-05-14 00:00:00+00:00
91,11228,592,2799,7837,2020-05-15 00:00:00+00:00
92,11719,612,2950,8157,2020-05-16 00:00:00+00:00
93,12229,630,3172,8427,2020-05-17 00:00:00+00:00
94,12764,645,3440,8679,2020-05-18 00:00:00+00:00
95,13484,659,3742,9083,2020-05-19 00:00:00+00:00
96,14229,680,3994,9555,2020-05-20 00:00:00+00:00
97,15003,696,4217,10090,2020-05-21 00:00:00+00:00
98,15786,707,4374,10705,2020-05-22 00:00:00+00:00
99,16513,735,4628,11150,2020-05-23 00:00:00+00:00
100,17265,764,4807,11694,2020-05-24 00:00:00+00:00
101,17967,783,4900,12284,2020-05-25 00:00:00+00:00
102,18756,797,5027,12932,2020-05-26 00:00:00+00:00
103,19666,816,5205,13645,2020-05-27 00:00:00+00:00
104,20793,845,5359,14589,2020-05-28 00:00:00+00:00
105,22082,879,5511,15692,2020-05-29 00:00:00+00:00
106,23449,913,5693,16843,2020-05-30 00:00:00+00:00
107,24985,959,6037,17989,2020-05-31 00:00:00+00:00
108,26384,1005,6447,18932,2020-06-01 00:00:00+00:00
109,27536,1052,6827,19657,2020-06-02 00:00:00+00:00
110,28615,1088,7350,20177,2020-06-03 00:00:00+00:00
111,29767,1126,7756,20885,2020-06-04 00:00:00+00:00
112,31115,1166,8158,21791,2020-06-05 00:00:00+00:00
113,32612,1198,8538,22876,2020-06-06 00:00:00+00:00
114,34079,1237,8961,23881,2020-06-07 00:00:00+00:00
115,35444,1271,9375,24798,2020-06-08 00:00:00+00:00
116,36829,1306,9786,25737,2020-06-09 00:00:00+00:00
117,38284,1342,10289,26653,2020-06-10 00:00:00+00:00
118,39726,1377,10691,27658,2020-06-11 00:00:00+00:00
119,41303,1422,11108,28773,2020-06-12 00:00:00+00:00
120,42980,1484,11529,29967,2020-06-13 00:00:00+00:00
121,44598,1575,11931,31092,2020-06-14 00:00:00+00:00
122,46289,1672,12329,32288,2020-06-15 00:00:00+00:00
123,47856,1766,12730,33360,2020-06-16 00:00:00+00:00
124,49219,1850,13141,34228,2020-06-17 00:00:00+00:00
125,50437,1938,13528,34971,2020-06-18 00:00:00+00:00
126,52211,2017,13928,36266,2020-06-19 00:00:00+00:00
127,53758,2106,14327,37325,2020-06-20 00:00:00+00:00
128,55233,2193,14736,38304,2020-06-21 00:00:00+00:00
129,56809,2278,15133,39398,2020-06-22 00:00:00+00:00
130,58141,2365,15535,40241,2020-06-23 00:00:00+00:00
