,IR_Confirmed,IR_Deaths,IR_Recovered,IR_Active,Date
0,2,2,0,0,2020-02-19 00:00:00+00:00
1,5,2,0,3,2020-02-20 00:00:00+00:00
2,18,4,0,14,2020-02-21 00:00:00+00:00
3,28,5,0,23,2020-02-22 00:00:00+00:00
4,43,8,0,35,2020-02-23 00:00:00+00:00
5,61,12,0,49,2020-02-24 00:00:00+00:00
6,95,16,0,79,2020-02-25 00:00:00+00:00
7,139,19,49,71,2020-02-26 00:00:00+00:00
8,245,26,49,170,2020-02-27 00:00:00+00:00
9,388,34,73,281,2020-02-28 00:00:00+00:00
10,593,43,123,427,2020-02-29 00:00:00+00:00
11,978,54,175,749,2020-03-01 00:00:00+00:00
12,1501,66,291,1144,2020-03-02 00:00:00+00:00
13,2336,77,291,1968,2020-03-03 00:00:00+00:00
14,2922,92,552,2278,2020-03-04 00:00:00+00:00
15,3513,107,739,2667,2020-03-05 00:00:00+00:00
16,4747,124,913,3710,2020-03-06 00:00:00+00:00
17,5823,145,1669,4009,2020-03-07 00:00:00+00:00
18,6566,194,2134,4238,2020-03-08 00:00:00+00:00
19,7161,237,2394,4530,2020-03-09 00:00:00+00:00
20,8042,291,2731,5020,2020-03-10 00:00:00+00:00
21,9000,354,2959,5687,2020-03-11 00:00:00+00:00
22,10075,429,2959,6687,2020-03-12 00:00:00+00:00
23,11364,514,2959,7891,2020-03-13 00:00:00+00:00
24,12729,611,2959,9159,2020-03-14 00:00:00+00:00
25,13938,724,4590,8624,2020-03-15 00:00:00+00:00
26,14991,853,4590,9548,2020-03-16 00:00:00+00:00
27,16169,988,5389,9792,2020-03-17 00:00:00+00:00
28,17361,1135,5389,10837,2020-03-18 00:00:00+00:00
29,18407,1284,5710,11413,2020-03-19 00:00:00+00:00
30,19644,1433,6745,11466,2020-03-20 00:00:00+00:00
31,20610,1556,7635,11419,2020-03-21 00:00:00+00:00
32,21638,1685,7931,12022,2020-03-22 00:00:00+00:00
33,23049,1812,7931,13306,2020-03-23 00:00:00+00:00
34,24811,1934,8913,13964,2020-03-24 00:00:00+00:00
35,27017,2077,9625,15315,2020-03-25 00:00:00+00:00
36,29406,2234,10457,16715,2020-03-26 00:00:00+00:00
37,32332,2378,11133,18821,2020-03-27 00:00:00+00:00
38,35408,2517,11679,21212,2020-03-28 00:00:00+00:00
39,38309,2640,12391,23278,2020-03-29 00:00:00+00:00
40,41495,2757,13911,24827,2020-03-30 00:00:00+00:00
41,44605,2898,14656,27051,2020-03-31 00:00:00+00:00
42,47593,3036,15473,29084,2020-04-01 00:00:00+00:00
43,50468,3160,16711,30597,2020-04-02 00:00:00+00:00
44,53183,3294,17935,31954,2020-04-03 00:00:00+00:00
45,55743,3452,19736,32555,2020-04-04 00:00:00+00:00
46,58226,3603,19736,34887,2020-04-05 00:00:00+00:00
47,60500,3739,24236,32525,2020-04-06 00:00:00+00:00
48,62589,3872,27039,31678,2020-04-07 00:00:00+00:00
49,64586,3993,29812,30781,2020-04-08 00:00:00+00:00
50,66220,4110,32309,29801,2020-04-09 00:00:00+00:00
51,68192,4232,35465,28495,2020-04-10 00:00:00+00:00
52,70029,4357,41947,23725,2020-04-11 00:00:00+00:00
53,71686,4474,43894,23318,2020-04-12 00:00:00+00:00
54,73303,4585,45983,22735,2020-04-13 00:00:00+00:00
55,74877,4683,48129,22065,2020-04-14 00:00:00+00:00
56,76389,4777,49933,21679,2020-04-15 00:00:00+00:00
57,77995,4869,52229,20897,2020-04-16 00:00:00+00:00
58,79494,4958,54064,20472,2020-04-17 00:00:00+00:00
59,80868,5031,55987,19850,2020-04-18 00:00:00+00:00
60,82211,5118,57023,20070,2020-04-19 00:00:00+00:00
61,83505,5209,59273,19023,2020-04-20 00:00:00+00:00
62,84802,5297,60965,18540,2020-04-21 00:00:00+00:00
63,85996,5391,63113,17492,2020-04-22 00:00:00+00:00
64,87026,5481,64843,16702,2020-04-23 00:00:00+00:00
65,88194,5574,66599,16021,2020-04-24 00:00:00+00:00
66,89328,5650,68193,15485,2020-04-25 00:00:00+00:00
67,90481,5710,69657,15114,2020-04-26 00:00:00+00:00
68,91472,5806,70933,14733,2020-04-27 00:00:00+00:00
69,92584,5877,72439,14268,2020-04-28 00:00:00+00:00
70,93657,5957,73791,13909,2020-04-29 00:00:00+00:00
71,94640,6028,75103,13509,2020-04-30 00:00:00+00:00
72,95646,6091,76318,13237,2020-05-01 00:00:00+00:00
73,96448,6156,77350,12942,2020-05-02 00:00:00+00:00
74,97424,6203,78422,12799,2020-05-03 00:00:00+00:00
75,98647,6277,79379,12991,2020-05-04 00:00:00+00:00
76,99970,6340,80475,13155,2020-05-05 00:00:00+00:00
77,101650,6418,81587,13645,2020-05-06 00:00:00+00:00
78,103135,6486,82744,13905,2020-05-07 00:00:00+00:00
79,104691,6541,83837,14313,2020-05-08 00:00:00+00:00
80,106220,6589,85064,14567,2020-05-09 00:00:00+00:00
81,107603,6640,86143,14820,2020-05-10 00:00:00+00:00
82,109286,6685,87422,15179,2020-05-11 00:00:00+00:00
83,110767,6733,88357,15677,2020-05-12 00:00:00+00:00
84,112725,6783,89428,16514,2020-05-13 00:00:00+00:00
85,114533,6854,90539,17140,2020-05-14 00:00:00+00:00
86,116635,6902,91836,17897,2020-05-15 00:00:00+00:00
87,118392,6937,93147,18308,2020-05-16 00:00:00+00:00
88,120198,6988,94464,18746,2020-05-17 00:00:00+00:00
89,122492,7057,95661,19774,2020-05-18 00:00:00+00:00
90,124603,7119,97173,20311,2020-05-19 00:00:00+00:00
91,126949,7183,98808,20958,2020-05-20 00:00:00+00:00
92,129341,7249,100564,21528,2020-05-21 00:00:00+00:00
93,131652,7300,102276,22076,2020-05-22 00:00:00+00:00
94,133521,7359,104072,22090,2020-05-23 00:00:00+00:00
95,135701,7417,105801,22483,2020-05-24 00:00:00+00:00
96,137724,7451,107713,22560,2020-05-25 00:00:00+00:00
97,139511,7508,109437,22566,2020-05-26 00:00:00+00:00
98,141591,7564,111176,22851,2020-05-27 00:00:00+00:00
99,143849,7627,112988,23234,2020-05-28 00:00:00+00:00
100,146668,7677,114931,24060,2020-05-29 00:00:00+00:00
101,148950,7734,116827,24389,2020-05-30 00:00:00+00:00
102,151466,7797,118848,24821,2020-05-31 00:00:00+00:00
103,154445,7878,121004,25563,2020-06-01 00:00:00+00:00
104,157562,7942,123077,26543,2020-06-02 00:00:00+00:00
105,160696,8012,125206,27478,2020-06-03 00:00:00+00:00
106,164270,8071,127485,28714,2020-06-04 00:00:00+00:00
107,167156,8134,129741,29281,2020-06-05 00:00:00+00:00
108,169425,8209,132038,29178,2020-06-06 00:00:00+00:00
109,171789,8281,134349,29159,2020-06-07 00:00:00+00:00
110,173832,8351,136360,29121,2020-06-08 00:00:00+00:00
111,175927,8425,138457,29045,2020-06-09 00:00:00+00:00
112,177938,8506,140590,28842,2020-06-10 00:00:00+00:00
113,180156,8584,142663,28909,2020-06-11 00:00:00+00:00
114,182525,8659,144649,29217,2020-06-12 00:00:00+00:00
115,184955,8730,146748,29477,2020-06-13 00:00:00+00:00
116,187427,8837,148674,29916,2020-06-14 00:00:00+00:00
117,189876,8950,150590,30336,2020-06-15 00:00:00+00:00
118,192439,9065,152675,30699,2020-06-16 00:00:00+00:00
119,195051,9185,154812,31054,2020-06-17 00:00:00+00:00
120,197647,9272,156991,31384,2020-06-18 00:00:00+00:00
121,200262,9392,159192,31678,2020-06-19 00:00:00+00:00
122,202584,9507,161384,31693,2020-06-20 00:00:00+00:00
123,204952,9623,163591,31738,2020-06-21 00:00:00+00:00
124,207525,9742,166427,31356,2020-06-22 00:00:00+00:00
125,209970,9863,169160,30947,2020-06-23 00:00:00+00:00
