,SN_Confirmed,SN_Deaths,SN_Recovered,SN_Active,Date
0,1,0,0,1,2020-03-02 00:00:00+00:00
1,2,0,0,2,2020-03-03 00:00:00+00:00
2,4,0,0,4,2020-03-04 00:00:00+00:00
3,4,0,0,4,2020-03-05 00:00:00+00:00
4,4,0,0,4,2020-03-06 00:00:00+00:00
5,4,0,0,4,2020-03-07 00:00:00+00:00
6,4,0,1,3,2020-03-08 00:00:00+00:00
7,4,0,1,3,2020-03-09 00:00:00+00:00
8,4,0,1,3,2020-03-10 00:00:00+00:00
9,4,0,1,3,2020-03-11 00:00:00+00:00
10,4,0,1,3,2020-03-12 00:00:00+00:00
11,10,0,1,9,2020-03-13 00:00:00+00:00
12,10,0,1,9,2020-03-14 00:00:00+00:00
13,24,0,1,23,2020-03-15 00:00:00+00:00
14,24,0,2,22,2020-03-16 00:00:00+00:00
15,26,0,2,24,2020-03-17 00:00:00+00:00
16,31,0,2,29,2020-03-18 00:00:00+00:00
17,31,0,2,29,2020-03-19 00:00:00+00:00
18,38,0,2,36,2020-03-20 00:00:00+00:00
19,47,0,5,42,2020-03-21 00:00:00+00:00
20,67,0,5,62,2020-03-22 00:00:00+00:00
21,79,0,5,74,2020-03-23 00:00:00+00:00
22,86,0,8,78,2020-03-24 00:00:00+00:00
23,99,0,9,90,2020-03-25 00:00:00+00:00
24,105,0,9,96,2020-03-26 00:00:00+00:00
25,119,0,11,108,2020-03-27 00:00:00+00:00
26,130,0,18,112,2020-03-28 00:00:00+00:00
27,142,0,27,115,2020-03-29 00:00:00+00:00
28,162,0,27,135,2020-03-30 00:00:00+00:00
29,175,0,40,135,2020-03-31 00:00:00+00:00
30,190,1,45,144,2020-04-01 00:00:00+00:00
31,195,1,55,139,2020-04-02 00:00:00+00:00
32,207,1,66,140,2020-04-03 00:00:00+00:00
33,219,2,72,145,2020-04-04 00:00:00+00:00
34,222,2,82,138,2020-04-05 00:00:00+00:00
35,226,2,92,132,2020-04-06 00:00:00+00:00
36,237,2,105,130,2020-04-07 00:00:00+00:00
37,244,2,113,129,2020-04-08 00:00:00+00:00
38,250,2,123,125,2020-04-09 00:00:00+00:00
39,265,2,137,126,2020-04-10 00:00:00+00:00
40,278,2,152,124,2020-04-11 00:00:00+00:00
41,280,2,171,107,2020-04-12 00:00:00+00:00
42,291,2,178,111,2020-04-13 00:00:00+00:00
43,299,2,183,114,2020-04-14 00:00:00+00:00
44,314,2,190,122,2020-04-15 00:00:00+00:00
45,335,2,194,139,2020-04-16 00:00:00+00:00
46,342,2,198,142,2020-04-17 00:00:00+00:00
47,350,3,211,136,2020-04-18 00:00:00+00:00
48,367,3,220,144,2020-04-19 00:00:00+00:00
49,377,5,235,137,2020-04-20 00:00:00+00:00
50,412,5,242,165,2020-04-21 00:00:00+00:00
51,442,6,253,183,2020-04-22 00:00:00+00:00
52,479,6,257,216,2020-04-23 00:00:00+00:00
53,545,7,262,276,2020-04-24 00:00:00+00:00
54,614,7,276,331,2020-04-25 00:00:00+00:00
55,671,9,283,379,2020-04-26 00:00:00+00:00
56,736,9,284,443,2020-04-27 00:00:00+00:00
57,823,9,296,518,2020-04-28 00:00:00+00:00
58,882,9,315,558,2020-04-29 00:00:00+00:00
59,933,9,334,590,2020-04-30 00:00:00+00:00
60,1024,9,356,659,2020-05-01 00:00:00+00:00
61,1115,9,368,738,2020-05-02 00:00:00+00:00
62,1182,9,372,801,2020-05-03 00:00:00+00:00
63,1271,10,415,846,2020-05-04 00:00:00+00:00
64,1329,11,470,848,2020-05-05 00:00:00+00:00
65,1433,12,493,928,2020-05-06 00:00:00+00:00
66,1492,13,562,917,2020-05-07 00:00:00+00:00
67,1551,13,611,927,2020-05-08 00:00:00+00:00
68,1634,17,643,974,2020-05-09 00:00:00+00:00
69,1709,19,650,1040,2020-05-10 00:00:00+00:00
70,1886,19,715,1152,2020-05-11 00:00:00+00:00
71,1995,19,742,1234,2020-05-12 00:00:00+00:00
72,2105,21,782,1302,2020-05-13 00:00:00+00:00
73,2189,23,842,1324,2020-05-14 00:00:00+00:00
74,2310,25,890,1395,2020-05-15 00:00:00+00:00
75,2429,25,949,1455,2020-05-16 00:00:00+00:00
76,2480,25,973,1482,2020-05-17 00:00:00+00:00
77,2544,26,1076,1442,2020-05-18 00:00:00+00:00
78,2617,30,1133,1454,2020-05-19 00:00:00+00:00
79,2714,30,1186,1498,2020-05-20 00:00:00+00:00
80,2812,33,1251,1528,2020-05-21 00:00:00+00:00
81,2909,33,1311,1565,2020-05-22 00:00:00+00:00
82,2976,34,1416,1526,2020-05-23 00:00:00+00:00
83,3047,35,1456,1556,2020-05-24 00:00:00+00:00
84,3130,35,1515,1580,2020-05-25 00:00:00+00:00
85,3161,36,1565,1560,2020-05-26 00:00:00+00:00
86,3253,38,1586,1629,2020-05-27 00:00:00+00:00
87,3348,39,1686,1623,2020-05-28 00:00:00+00:00
88,3429,41,1738,1650,2020-05-29 00:00:00+00:00
89,3535,42,1761,1732,2020-05-30 00:00:00+00:00
90,3645,42,1801,1802,2020-05-31 00:00:00+00:00
91,3739,42,1858,1839,2020-06-01 00:00:00+00:00
92,3836,43,1954,1839,2020-06-02 00:00:00+00:00
93,3932,45,2063,1824,2020-06-03 00:00:00+00:00
94,4021,45,2162,1814,2020-06-04 00:00:00+00:00
95,4155,45,2276,1834,2020-06-05 00:00:00+00:00
96,4249,47,2512,1690,2020-06-06 00:00:00+00:00
97,4328,49,2588,1691,2020-06-07 00:00:00+00:00
98,4427,49,2699,1679,2020-06-08 00:00:00+00:00
99,4516,52,2809,1655,2020-06-09 00:00:00+00:00
100,4640,52,2885,1703,2020-06-10 00:00:00+00:00
101,4759,55,2994,1710,2020-06-11 00:00:00+00:00
102,4851,56,3100,1695,2020-06-12 00:00:00+00:00
103,4996,60,3228,1708,2020-06-13 00:00:00+00:00
104,5090,60,3344,1686,2020-06-14 00:00:00+00:00
105,5173,64,3424,1685,2020-06-15 00:00:00+00:00
106,5247,70,3525,1652,2020-06-16 00:00:00+00:00
107,5369,73,3606,1690,2020-06-17 00:00:00+00:00
108,5475,76,3716,1683,2020-06-18 00:00:00+00:00
109,5639,79,3788,1772,2020-06-19 00:00:00+00:00
110,5783,82,3859,1842,2020-06-20 00:00:00+00:00
111,5888,84,3919,1885,2020-06-21 00:00:00+00:00
112,5970,86,3953,1931,2020-06-22 00:00:00+00:00
113,6034,89,4046,1899,2020-06-23 00:00:00+00:00
